道路编号,设备编号,设备名称,部门编码,部门名称,坐标,启用时间,x坐标,y坐标
7.01701E+11,4.205E+19,高新-百灵路汉宜二路口北向南(未接入),4.205E+11,宜昌支队高新区大队,"111.41094,30.65746",2019/11/26,111.41094,30.65746
7.01701E+11,4.205E+19,高新-百灵路花艳一路口西向东,4.205E+11,宜昌支队高新区大队,"111.41075,30.65519",2019/11/26,111.41075,30.65519
7.01701E+11,4.205E+19,高新-百灵路花艳一路口南向北,4.205E+11,宜昌支队高新区大队,"111.41086,30.65527",2019/11/26,111.41086,30.65527
7.01701E+11,4.205E+19,高新-百灵路花艳一路口南向北卡口,4.205E+11,宜昌支队高新区大队,"111.41086,30.65527",2019/11/26,111.41086,30.65527
6.90451E+11,4.205E+19,高新-花溪路花艳一路口东向西,4.205E+11,宜昌支队高新区大队,"111.39846,30.65781",2019/11/26,111.39846,30.65781
6.90451E+11,4.205E+19,高新-花溪路花艳一路口南向北,4.205E+11,宜昌支队高新区大队,"111.39827,30.65775",2019/11/26,111.39827,30.65775
6.90451E+11,4.205E+19,高新-花溪路花艳一路口北向南,4.205E+11,宜昌支队高新区大队,"111.39831,30.65791",2019/11/26,111.39831,30.65791
6.00322E+11,4.205E+19,高新-青岛路港城路口东向西,4.205E+11,宜昌支队高新区大队,"111.32517,30.68894",2019/11/26,111.32517,30.68894
6.00322E+11,4.205E+19,高新-青岛路港城路口西向东,4.205E+11,宜昌支队高新区大队,"111.32485,30.68896",2019/11/26,111.32485,30.68896
6.00322E+11,4.205E+19,高新-青岛路港城路口北向南(未接入),4.205E+11,宜昌支队高新区大队,"111.32501,30.68907",2019/11/26,111.32501,30.68907
6.00352E+11,4.20502E+19,坝区-朱家湾检查站入口北向南,4.20502E+11,宜昌支队三峡坝区大队,"111.06983,30.84405",2018/11/1,111.06983,30.84405
6.00352E+11,4.20502E+19,坝区-朱家湾检查站出口南向北,4.20502E+11,宜昌支队三峡坝区大队,"111.06983,30.84405",2018/11/1,111.06983,30.84405
6.00352E+11,4.20502E+19,坝区-陈家冲检查站出口南向北,4.20502E+11,宜昌支队三峡坝区大队,"111.0406,30.84018",2014/5/16,111.0406,30.84018
6.00352E+11,4.20502E+19,坝区-陈家冲检查站入口北向南,4.20502E+11,宜昌支队三峡坝区大队,"111.0406,30.84018",2014/5/16,111.0406,30.84018
6.00362E+11,4.20502E+19,坝区-岱狮检查站入口东向西,4.20502E+11,宜昌支队三峡坝区大队,"111.06635,30.82842",2018/11/24,111.06635,30.82842
6.00362E+11,4.20502E+19,坝区-岱狮检查站出口西向东,4.20502E+11,宜昌支队三峡坝区大队,"111.06635,30.82842",2018/11/24,111.06635,30.82842
6.00372E+11,4.20502E+19,坝区-大象溪检查站入口东向西,4.20502E+11,宜昌支队三峡坝区大队,"111.06288,30.84462",2018/11/24,111.06288,30.84462
